channel,snr,mcs
pdc,100,4
pdc,99,4
pdc,82,4
pdc,98,4
pdc,89,4
pdc,100,4
pdc,96,4
pdc,92,4
pdc,100,4
pdc,94,4
pdc,102,4
pdc,94,4
pdc,99,4
pdc,99,4
pdc,76,4
pdc,101,4
pdc,87,4
pdc,99,4
pdc,95,4
pdc,97,4
pdc,101,4
pdc,84,4
pdc,102,4
pdc,94,4
pdc,102,4
pdc,103,4
pdc,89,4
pdc,89,4
pdc,102,4
pdc,101,4
pdc,72,4
pdc,101,4
pdc,100,4
pdc,92,4
pdc,101,4
pdc,99,4
pdc,71,4
pdc,101,4
pdc,98,4
pdc,97,4
pdc,97,4
pdc,75,4
pdc,101,4
pdc,89,4
pdc,94,4
pdc,98,4
pdc,101,4
pdc,99,4
pdc,87,4
pdc,105,4
pdc,82,4
pdc,104,4
pdc,89,4
pdc,102,4
pdc,101,4
pdc,104,4
pdc,82,4
pdc,102,4
pdc,89,4
pdc,99,4
pdc,73,4
pdc,102,4
pdc,89,4
pdc,104,4
pdc,82,4
pdc,100,4
pdc,90,4
pdc,102,4
pdc,91,4
pdc,101,4
pdc,88,4
pdc,97,4
pdc,101,4
pdc,101,4
pdc,102,4
pdc,82,4
pdc,100,4
pdc,74,4
pdc,103,4
pdc,94,4
pdc,84,4
pdc,101,4
pdc,101,4
pdc,100,4
pdc,102,4
pdc,89,4
pdc,104,4
pdc,88,4
pdc,102,4
pdc,101,4
pdc,101,4
pdc,87,4
pdc,101,4
pdc,74,4
pdc,102,4
pdc,101,4
pdc,102,4
pdc,96,4
pdc,96,4
pdc,103,4
pdc,99,4
pdc,98,4
pdc,102,4
pdc,80,4
pdc,97,4
pdc,71,4
pdc,102,4
pdc,100,4
pdc,91,4
pdc,76,4
pdc,104,4
pdc,91,4
pdc,101,4
pdc,99,4
pdc,101,4
pdc,102,4
pdc,102,4
pdc,102,4
pdc,99,4
pdc,101,4
pdc,83,4
pdc,99,4
pdc,99,4
pdc,104,4
pdc,103,4
pdc,88,4
pdc,102,4
pdc,76,4
pdc,103,4
pdc,104,4
pdc,102,4
pdc,97,4
pdc,85,4
pdc,102,4
pdc,101,4
pdc,89,4
pdc,99,4
pdc,102,4
pdc,87,4
pdc,94,4
pdc,77,4
pdc,102,4
pdc,102,4
pdc,89,4
pdc,99,4
pdc,88,4
pdc,100,4
pdc,96,4
pdc,81,4
pdc,100,4
pdc,96,4
pdc,93,4
pdc,98,4
pdc,101,4
pdc,102,4
pdc,102,4
pdc,93,4
pdc,103,4
pdc,94,4
pdc,96,4
pdc,100,4
pdc,80,4
pdc,102,4
pdc,64,4
pdc,81,4
pdc,80,4
pdc,70,4
pdc,74,4
