rx_id,rx_testing_mcs,rx_rssi_low_level,rx_rssi_high_level,rx_phy_transmit_pwr_low,rx_phy_transmit_pwr_high,rx_snr_low,rx_snr_high
38,4,-109,-83,-12,-12,-31,97
38,4,-95,-70,-12,-12,16,112
38,4,-86,-77,-12,-12,51,119
38,4,-109,-79,-12,-12,-34,112
38,4,-81,-78,-12,-12,43,111
38,4,-81,-78,-12,-12,69,113
38,4,-99,-58,-12,-12,13,111
38,4,-75,-72,-12,-12,75,114
38,4,-108,-81,-12,-12,-21,103
38,4,-81,-74,-12,-12,60,117
38,4,-82,-77,-12,-12,57,113
38,4,-86,-81,-12,-12,47,102
38,4,-79,-76,-12,-12,70,114
38,4,-79,-76,-12,-12,69,112
38,4,-79,-76,-12,-12,67,117
38,4,-39,-39,-12,-12,88,107
38,4,-38,-38,-12,-12,90,110
38,4,-62,-56,-12,-12,85,113
38,4,-64,-62,-12,-12,89,112
38,4,-73,-71,-12,-12,82,115
38,4,-84,-82,-12,-12,45,106
38,4,-76,-72,-12,-12,69,113
38,4,-96,-59,-12,-12,44,114
38,4,-66,-65,-12,-12,77,111
38,4,-104,-67,-12,-12,5,110
38,4,-90,-76,-12,-12,54,106
38,4,-107,-82,-12,-12,-14,101
38,4,-101,-61,-12,-12,17,111
38,4,-99,-57,-12,-12,31,109
38,4,-78,-68,-12,-12,71,114
38,4,-75,-69,-12,-12,71,119
38,4,-73,-71,-12,-12,76,116
38,4,-73,-70,-12,-12,79,115
38,4,-73,-71,-12,-12,78,114
38,4,-73,-71,-12,-12,78,114
38,4,-70,-69,-12,-12,82,116
38,4,-68,-57,-12,-12,86,112
38,4,-86,-27,-12,-12,62,112
38,4,-73,-70,-12,-12,59,115
38,4,-71,-66,-12,-12,72,112
38,4,-69,-62,-12,-12,79,114
38,4,-64,-61,-12,-12,86,114
38,4,-66,-63,-12,-12,81,112
38,4,-66,-64,-12,-12,81,111
38,4,-68,-63,-12,-12,79,114
38,4,-62,-60,-12,-12,83,114
38,4,-67,-63,-12,-12,82,116
38,4,-65,-63,-12,-12,81,109
38,4,-66,-64,-12,-12,81,109
38,4,-67,-64,-12,-12,82,114
38,4,-68,-62,-12,-12,82,112
38,4,-68,-63,-12,-12,79,113
38,4,-68,-62,-12,-12,79,114
38,4,-63,-61,-12,-12,84,113
38,4,-89,-58,-12,-12,27,113
38,4,-85,-71,-12,-12,28,114
38,4,-84,-73,-12,-12,36,107
38,4,-74,-68,-12,-12,66,114
38,4,-63,-60,-4,-4,87,113
38,4,-65,-60,-4,-4,84,112
38,4,-66,-60,-4,-4,83,111
38,4,-65,-62,-4,-4,84,118
38,4,-65,-60,-4,-4,84,112
38,4,-60,-58,-4,-4,86,109
38,4,-61,-58,-4,-4,85,113
38,4,-56,-52,0,0,88,109
38,4,-59,-56,0,0,86,112
38,4,-57,-56,0,0,88,111
38,4,-58,-55,0,0,86,107
38,4,-59,-55,0,0,89,111
38,4,-56,-55,0,0,87,112
38,4,-59,-55,0,0,87,109
38,4,-57,-56,0,0,88,110
38,4,-59,-55,0,0,87,109
38,4,-58,-57,0,0,87,107
38,4,-43,-42,0,0,88,111
38,4,-42,-41,0,0,89,109
38,4,-43,-42,0,0,88,109
38,4,-43,-42,0,0,89,109
38,4,-44,-42,0,0,88,107
38,4,-74,-42,-8,-8,89,109
38,4,-54,-53,-8,-8,89,111
38,4,-54,-53,-8,-8,87,112
38,4,-54,-53,-8,-8,89,112
38,4,-53,-53,-8,-8,88,111
38,4,-54,-53,-8,-8,87,112
38,4,-54,-53,-8,-8,89,111
38,4,-54,-53,-8,-8,90,113
38,4,-54,-53,-8,-8,91,112
38,4,-53,-53,-8,-8,89,111
38,4,-55,-50,-8,-8,88,112
38,4,-52,-51,-8,-8,90,110
38,4,-66,-40,-8,-8,87,112
38,4,-65,-43,-16,-16,89,107
38,4,-46,-46,-16,-16,89,107
38,4,-46,-45,-16,-16,89,109
38,4,-46,-45,-16,-16,90,107
38,4,-46,-46,-16,-16,89,107
38,4,-98,-54,-16,-16,27,109
38,4,-72,-67,-16,-16,78,117
38,4,-72,-65,-16,-16,77,113
38,4,-77,-67,-16,-16,49,116
38,4,-70,-69,-16,-16,62,114
38,4,-70,-69,-16,-16,57,111
38,4,-73,-67,-16,-16,68,113
38,4,-89,-68,-16,-16,27,111
38,4,-72,-66,-16,-16,73,113
38,4,-68,-67,-16,-16,81,112
38,4,-102,-72,-16,-16,-4,109
38,4,-84,-77,-16,-16,42,103
38,4,-75,-70,-16,-16,69,111
38,4,-86,-74,-16,-16,42,107
38,4,-86,-75,-16,-16,37,107
38,4,-91,-72,-16,-16,31,110
38,4,-96,-71,-16,-16,7,113
38,4,-101,-67,-16,-16,3,109
38,4,-80,-71,-16,-16,58,112
38,4,-78,-69,-16,-16,64,112
38,4,-76,-71,-16,-16,64,118
38,4,-76,-70,-16,-16,69,114
38,4,-85,-77,-16,-16,36,108
38,4,-87,-78,-16,-16,29,105
38,4,-102,-73,-16,-16,-18,107
38,4,-95,-71,-16,-16,17,112
38,4,-80,-74,-16,-16,53,112
