snr,SNR(dB),MCS,Current Samples
59.0,17.708520116421443,4,4
60.0,17.781512503836435,4,8
61.0,17.85329835010767,4,16
62.0,17.92391689498254,4,38
63.0,17.993405494535818,4,27
64.0,18.06179973983887,4,82
65.0,18.129133566428553,4,50
66.0,18.19543935541869,4,143
67.0,18.260748027008265,4,149
68.0,18.325089127062363,4,84
69.0,18.388490907372553,4,177
70.0,18.45098040014257,4,81
71.0,18.512583487190753,4,210
72.0,18.573324964312686,4,188
73.0,18.633228601204557,4,111
74.0,18.692317197309762,4,172
75.0,18.750612633917,4,106
76.0,18.808135922807914,4,179
77.0,18.86490725172482,4,134
78.0,18.920946026904804,4,102
79.0,18.976270912904415,4,179
80.0,19.030899869919434,4,112
81.0,19.084850188786497,4,251
82.0,19.138138523837167,4,336
83.0,19.19078092376074,4,157
84.0,19.242792860618817,4,391
85.0,19.294189257142925,4,247
86.0,19.344984512435676,4,400
87.0,19.395192526186186,4,409
88.0,19.444826721501688,4,277
89.0,19.49390006644913,4,463
90.0,19.54242509439325,4,210
91.0,19.590413923210935,4,358
92.0,19.637878273455552,4,261
93.0,19.68482948553935,4,137
94.0,19.731278535996985,4,342
95.0,19.77723605288848,4,239
96.0,19.822712330395685,4,853
97.0,19.86771734266245,4,1615
98.0,19.912260756924947,4,1092
99.0,19.9563519459755,4,2337
100.0,20.0,4,1543
101.0,20.043213737826427,4,2564
102.0,20.086001717619176,4,1504
103.0,20.128372247051722,4,571
104.0,20.170333392987803,4,434
105.0,20.211892990699383,4,81
106.0,20.253058652647702,4,47
107.0,20.293837776852097,4,5
