sent,received,snr,mcs,per
13342,164,0.0,0,0.9877079898066257
13342,351,0.5,0,0.9736921001349123
13342,707,1.0,0,0.94700944386149
13342,1492,1.5,0,0.8881726877529605
13342,2933,2.0,0,0.7801678908709339
13342,4832,2.5,0,0.6378354069854595
13342,7328,3.0,0,0.45075700794483586
13342,9524,3.5,0,0.2861639934042872
13342,11319,4.0,0,0.15162644281217208
13342,12375,4.5,0,0.07247788937190826
13342,12981,5.0,0,0.02705741268175686
13342,173,0.0,0,0.9870334282716234
13342,319,0.5,0,0.9760905411482537
13342,710,1.0,0,0.9467845900164893
13342,1437,1.5,0,0.892295008244641
13342,2736,2.0,0,0.7949332933593164
13342,4845,2.5,0,0.6368610403237895
13342,7246,3.0,0,0.45690301304152303
13342,7184,3.0,0,0.46154999250487183
13342,9429,3.5,0,0.2932843651626443
13342,11230,4.0,0,0.15829710688052764
13342,12325,4.5,0,0.07622545345525408
13342,12930,5.0,0,0.0308799280467696
13342,13189,5.5,0,0.011467546095038226
13342,13299,6.0,0,0.00322290511167741
13342,13332,6.5,0,0.000749512816669165
13342,13339,7.0,0,0.0002248538450007495
13342,185,2.0,1,0.9861340128916204
13342,2105,2.5,1,0.8422275520911408
13342,6735,3.0,1,0.49520311797331734
13342,9451,3.5,1,0.2916354369659721
13342,11139,4.0,1,0.16511767351221707
13342,12316,4.5,1,0.07690001499025634
13342,12968,5.0,1,0.028031779343426773
13342,13192,5.5,1,0.011242692250037475
13342,13303,6.0,1,0.0029230999850097437
13342,13300,6.0,1,0.0031479538300104933
13342,13330,6.5,1,0.000899415380002998
13342,13339,7.0,1,0.0002248538450007495
13342,13339,7.5,1,0.0002248538450007495
13342,13332,8.0,1,0.000749512816669165
13342,13341,8.5,1,7.495128166691651e-05
13342,13331,8.0,1,0.0008244640983360816
13342,13336,8.5,1,0.000449707690001499
13342,13339,9.0,1,0.0002248538450007495
13342,13340,9.5,1,0.00014990256333383302
13342,13341,10.0,1,7.495128166691651e-05
15008,178,4.0,2,0.9881396588486141
15008,216,4.5,2,0.9856076759061834
15008,298,5.0,2,0.9801439232409381
15008,1125,5.5,2,0.9250399786780383
15008,6774,6.0,2,0.5486407249466951
15008,13290,6.5,2,0.1144722814498934
15008,14886,7.0,2,0.008128997867803838
15008,14975,7.5,2,0.002198827292110874
15008,14993,8.0,2,0.0009994669509594883
15008,14999,8.5,2,0.000599680170575693
15008,14994,9.0,2,0.0009328358208955224
15008,15004,9.5,2,0.00026652452025586353
15008,15007,10.0,2,6.663113006396588e-05
15008,15008,10.5,2,0.0
15008,15008,11.0,2,0.0
15008,15008,11.5,2,0.0
15008,15008,12.0,2,0.0
15008,15008,12.5,2,0.0
15008,15008,13.0,2,0.0
15008,15007,13.5,2,6.663113006396588e-05
15008,15008,14.0,2,0.0
20006,268,6.0,3,0.9866040187943617
20006,243,6.5,3,0.987853643906828
20006,2122,7.0,3,0.8939318204538639
20006,13222,7.5,3,0.33909827051884434
20006,18658,8.0,3,0.06737978606418074
20006,19691,8.5,3,0.015745276417074877
20006,19873,9.0,3,0.006648005598320504
20006,19972,9.5,3,0.0016994901529541137
20006,19976,10.0,3,0.0014995501349595122
20006,19990,10.5,3,0.0007997600719784065
20006,20001,11.0,3,0.000249925022493252
20006,20003,11.5,3,0.00014995501349595122
20006,20005,12.0,3,4.9985004498650404e-05
20006,20003,12.5,3,0.00014995501349595122
24003,414,9.0,4,0.9827521559805025
24003,267,9.5,4,0.9888763904511936
24003,313,10.0,4,0.9869599633379161
24003,777,10.5,4,0.9676290463692039
24003,4917,11.0,4,0.7951506061742282
24003,10269,11.5,4,0.5721784776902887
24003,16830,12.0,4,0.2988376452943382
24003,21692,12.5,4,0.09627963171270258
24003,23447,13.0,4,0.023163771195267257
24003,23877,13.5,4,0.005249343832020997
24003,23914,14.0,4,0.003707869849602133
24003,23952,14.5,4,0.002124734408198975
24003,23971,15.0,4,0.0013331666874973962
24003,23987,15.5,4,0.0006665833437486981
24003,23992,16.0,4,0.00045827604882722994
24003,23992,16.5,4,0.00045827604882722994
24003,23992,17.0,4,0.00045827604882722994
24003,23997,17.5,4,0.00024996875390576176
24003,23998,18.0,4,0.00020830729492146816
24003,23998,18.5,4,0.00020830729492146816
24003,24000,19.0,4,0.00012498437695288088
24003,24001,19.5,4,8.332291796858727e-05
24003,23998,20.0,4,0.00020830729492146816
26670,26580,6.0,1,0.003374578177727784
26670,26642,6.5,1,0.0010498687664041995
26670,26662,7.0,1,0.00029996250468691414
26670,26664,7.5,1,0.0002249718785151856
26670,26663,8.0,1,0.00026246719160104987
26670,26655,8.5,1,0.0005624296962879641
26670,26662,9.0,1,0.00029996250468691414
26670,26665,9.5,1,0.00018747656542932134
26670,26667,10.0,1,0.0001124859392575928
30002,29985,8.5,2,0.0005666288914072395
30002,29990,9.0,2,0.0003999733351109926
40005,39997,12.0,3,0.00019997500312460943
40005,40001,12.5,3,9.998750156230471e-05
47999,47984,18.0,4,0.00031250651055230317
47999,47985,18.5,4,0.00029167274318214965
