channel,snr,mcs,seq_number
pdc,0.50,0,5
pdc,0.50,0,6
pdc,0.50,0,13
pdc,0.50,0,19
pdc,0.50,0,21
pdc,0.50,0,24
pdc,0.50,0,80
pdc,0.50,0,81
pdc,0.50,0,83
pdc,0.50,0,84
pdc,0.50,0,86
pdc,0.50,0,102
pdc,0.50,0,103
pdc,0.50,0,106
pdc,0.50,0,145
pdc,0.50,0,147
pdc,0.50,0,150
pdc,0.50,0,152
pdc,0.50,0,153
pdc,0.50,0,155
pdc,0.50,0,168
pdc,0.50,0,173
pdc,0.50,0,174
pdc,0.50,0,176
pdc,0.50,0,177
pdc,0.50,0,193
pdc,0.50,0,206
pdc,0.50,0,216
pdc,0.50,0,217
pdc,0.50,0,219
pcc_err,0.50,0,244
pdc,0.50,0,261
pdc,0.50,0,263
pdc,0.50,0,264
pdc,0.50,0,283
pdc,0.50,0,285
pdc,0.50,0,287
pdc,0.50,0,291
pdc,0.50,0,293
pcc_err,0.50,0,294
pdc,0.50,0,296
pdc,0.50,0,298
pdc,0.50,0,301
pdc,0.50,0,304
pdc,0.50,0,378
pdc,0.50,0,379
pdc,0.50,0,382
pdc,0.50,0,387
pdc,0.50,0,392
pdc,0.50,0,394
pdc,0.50,0,395
pdc,0.50,0,397
pdc,0.50,0,427
pdc,0.50,0,428
pdc,0.50,0,438
pcc_err,0.50,0,439
pdc,0.50,0,441
pdc,0.50,0,442
pdc,0.50,0,444
pdc,0.50,0,446
pdc,0.50,0,449
pdc,0.50,0,450
pdc,0.50,0,458
pdc,0.50,0,460
pdc,0.50,0,462
pdc,0.50,0,463
pdc,0.50,0,465
pdc,0.50,0,466
pdc,0.50,0,468
pdc,0.50,0,471
pdc,0.50,0,480
pdc,0.50,0,482
pdc,0.50,0,485
pdc,0.50,0,490
pdc,0.50,0,491
pdc,0.50,0,492
pdc,0.50,0,568
pdc,0.50,0,570
pcc_err,0.50,0,587
pcc_err,0.50,0,587
pcc_err,0.50,0,587
pdc,0.50,0,605
pcc_err,0.50,0,612
pcc_err,0.50,0,621
pcc_err,0.50,0,621
pdc,0.50,0,664
pcc_err,0.50,0,670
pcc_err,0.50,0,681
pdc,0.50,0,690
pdc,0.50,0,691
pcc_err,0.50,0,692
pdc,0.50,0,695
pdc,0.50,0,708
pcc_err,0.50,0,709
pdc,0.50,0,711
pcc_err,0.50,0,712
pcc_err,0.50,0,712
pcc_err,0.50,0,751
pcc_err,0.50,0,751
pcc_err,0.50,0,751
pcc_err,0.50,0,751
pdc,0.50,0,760
pcc_err,0.50,0,761
pcc_err,0.50,0,779
pdc,0.50,0,780
pdc,0.50,0,782
pcc_err,0.50,0,808
pdc,0.50,0,817
pdc,0.50,0,819
pcc_err,0.50,0,820
pcc_err,0.50,0,820
pcc_err,0.50,0,820
pcc_err,0.50,0,820
pdc,0.50,0,830
pcc_err,0.50,0,831
pcc_err,0.50,0,831
pcc_err,0.50,0,848
pcc_err,0.50,0,856
pcc_err,0.50,0,856
pdc,0.50,0,864
pcc_err,0.50,0,865
pcc_err,0.50,0,882
pdc,0.50,0,886
pdc,0.50,0,888
pcc_err,0.50,0,893
pdc,0.50,0,925
pdc,0.50,0,927
pcc_err,0.50,0,928
pdc,0.50,0,931
pdc,0.50,0,933
pdc,0.50,0,934
pdc,0.50,0,966
pdc,0.50,0,971
pcc_err,0.50,0,972
pcc_err,0.50,0,972
pcc_err,0.50,0,978
pdc,0.50,0,987
pcc_err,0.50,0,1016
pcc_err,0.50,0,1016
pcc_err,0.50,0,1016
pdc,0.50,0,1024
pdc,0.50,0,1036
pdc,0.50,0,1038
pcc_err,0.50,0,1039
pcc_err,0.50,0,1039
pdc,0.50,0,1046
pcc_err,0.50,0,1048
pdc,0.50,0,1058
pcc_err,0.50,0,1079
pdc,0.50,0,1088
pdc,0.50,0,1089
pcc_err,0.50,0,1090
pcc_err,0.50,0,1090
pcc_err,0.50,0,1162
pdc,0.50,0,1179
pdc,0.50,0,1194
pcc_err,0.50,0,1267
pcc_err,0.50,0,1267
pcc_err,0.50,0,1276
pcc_err,0.50,0,1278
pcc_err,0.50,0,1278
pcc_err,0.50,0,1278
pcc_err,0.50,0,1278
pdc,0.50,0,1288
pcc_err,0.50,0,1294
pdc,0.50,0,1297
pdc,0.50,0,1305
pdc,0.50,0,1360
pcc_err,0.50,0,1361
pcc_err,0.50,0,1365
pcc_err,0.50,0,1373
pdc,0.50,0,1374
pcc_err,0.50,0,1375
pcc_err,0.50,0,1375
pdc,0.50,0,1377
pcc_err,0.50,0,1378
pcc_err,0.50,0,1378
pcc_err,0.50,0,1389
pcc_err,0.50,0,1398
pcc_err,0.50,0,1398
pcc_err,0.50,0,1398
pdc,0.50,0,1410
pcc_err,0.50,0,1425
pcc_err,0.50,0,1425
pcc_err,0.50,0,1425
pcc_err,0.50,0,1425
pdc,0.50,0,1436
pdc,0.50,0,1438
pcc_err,0.50,0,1439
pcc_err,0.50,0,1439
pcc_err,0.50,0,1452
pcc_err,0.50,0,1459
pcc_err,0.50,0,1459
pcc_err,0.50,0,1459
pcc_err,0.50,0,1459
pcc_err,0.50,0,1470
pcc_err,0.50,0,1470
pdc,0.50,0,1482
pcc_err,0.50,0,1483
pcc_err,0.50,0,1483
pcc_err,0.50,0,1483
pcc_err,0.50,0,1483
pdc,0.50,0,1491
pcc_err,0.50,0,1514
pdc,0.50,0,1518
pdc,0.50,0,1521
pcc_err,0.50,0,1534
pcc_err,0.50,0,1534
pdc,0.50,0,1540
pcc_err,0.50,0,1541
pdc,0.50,0,1545
pcc_err,0.50,0,1548
pcc_err,0.50,0,1548
pcc_err,0.50,0,1548
pdc,0.50,0,1557
pdc,0.50,0,1576
pdc,0.50,0,1580
pcc_err,0.50,0,1592
pcc_err,0.50,0,1592
pdc,0.50,0,1597
pdc,0.50,0,1600
pcc_err,0.50,0,1605
pcc_err,0.50,0,1605
pcc_err,0.50,0,1605
pdc,0.50,0,1615
pdc,0.50,0,1617
pdc,0.50,0,1622
pdc,0.50,0,1625
pdc,0.50,0,1631
pcc_err,0.50,0,1637
pcc_err,0.50,0,1647
pcc_err,0.50,0,1647
pdc,0.50,0,1652
pdc,0.50,0,1654
pcc_err,0.50,0,1655
pdc,0.50,0,1657
pcc_err,0.50,0,1658
pcc_err,0.50,0,1658
pcc_err,0.50,0,1665
pcc_err,0.50,0,1665
pcc_err,0.50,0,1665
pdc,0.50,0,1677
pcc_err,0.50,0,1678
pcc_err,0.50,0,1703
pcc_err,0.50,0,1703
pcc_err,0.50,0,1715
pdc,0.50,0,1720
pcc_err,0.50,0,1721
pcc_err,0.50,0,1721
pcc_err,0.50,0,1787
pdc,0.50,0,1788
pdc,0.50,0,1794
pcc_err,0.50,0,1798
pcc_err,0.50,0,1798
pcc_err,0.50,0,1803
pcc_err,0.50,0,1812
pcc_err,0.50,0,1812
pdc,0.50,0,1823
pcc_err,0.50,0,1832
pdc,0.50,0,1899
pdc,0.50,0,1902
pcc_err,0.50,0,1918
pcc_err,0.50,0,1918
pcc_err,0.50,0,1918
pcc_err,0.50,0,1918
pcc_err,0.50,0,1918
pcc_err,0.50,0,1930
pcc_err,0.50,0,1930
pcc_err,0.50,0,1930
pcc_err,0.50,0,1930
